Data da Nota,Data de Entrega,id_Remessa,id_Cliente,id_Produto,Qtde Entregue,Filial
2017-04-27 00:00:00,2019-05-02 00:00:00,34610650,CLI0012268,MA0023,0,61
2018-12-27 00:00:00,2019-01-04 00:00:00,42707183,CLI0478886,MA0023,7330,94
2018-12-27 00:00:00,2019-01-04 00:00:00,42707355,CLI0037839,UV0024,6916,56
2018-12-28 00:00:00,2019-01-04 00:00:00,42707400,CLI0037839,PE0022,3508,26
2018-12-29 00:00:00,2019-01-02 00:00:00,42707534,CLI0367131,LA0021,7754,86
2018-12-29 00:00:00,2019-01-03 00:00:00,42707562,CLI0037839,PE0022,3732,22
2018-12-30 00:00:00,2019-01-01 00:00:00,42708056,CLI0294177,LA0021,0,44
2018-12-30 00:00:00,2019-01-02 00:00:00,42707796,CLI0012268,LA0021,4595,62
2018-12-30 00:00:00,2019-01-02 00:00:00,42707566,CLI0033897,PE0022,9163,09
2018-12-30 00:00:00,2019-01-02 00:00:00,42707877,CLI0012268,UV0024,5402,61
2018-12-30 00:00:00,2019-01-03 00:00:00,42707606,CLI0037839,LA0021,17805,54
2018-12-30 00:00:00,2019-01-04 00:00:00,42707810,CLI0406697,LA0021,6601,55
2018-12-30 00:00:00,2019-01-04 00:00:00,42707575,CLI0019997,PE0022,6624,04
2018-12-30 00:00:00,2019-01-08 00:00:00,42707574,CLI0012268,PE0022,7235,61
2018-12-31 00:00:00,2019-01-01 00:00:00,42708072,CLI0561354,LA0021,5539,73
2018-12-31 00:00:00,2019-01-01 00:00:00,42707869,CLI0000995,UV0024,3939,73
2019-01-01 00:00:00,2019-01-01 00:00:00,42708029,CLI0304006,LA0021,12569,04
2019-01-01 00:00:00,2019-01-01 00:00:00,42707722,CLI0298468,UV0024,9387,04
2019-01-01 00:00:00,2019-01-02 00:00:00,42707988,CLI0019997,LA0021,11561,80
2019-01-01 00:00:00,2019-01-02 00:00:00,42708015,CLI0367738,LA0021,2106,09
2019-01-01 00:00:00,2019-01-02 00:00:00,42708025,CLI0019997,LA0021,2715,04
2019-01-01 00:00:00,2019-01-02 00:00:00,42708079,CLI0172373,LA0021,9592,44
2019-01-01 00:00:00,2019-01-02 00:00:00,42708080,CLI0294177,LA0021,0,43
2019-01-01 00:00:00,2019-01-02 00:00:00,42707733,CLI0298468,UV0024,9335,04
2019-01-01 00:00:00,2019-01-02 00:00:00,42708101,CLI0298468,UV0024,7530,04
2019-01-01 00:00:00,2019-01-03 00:00:00,42707843,CLI0033897,UV0024,7890,25
2019-01-01 00:00:00,2019-01-04 00:00:00,42707836,CLI0478886,LA0021,4536,94
2019-01-02 00:00:00,2019-01-01 00:00:00,42707742,CLI0298468,UV0024,20886,04
2019-01-02 00:00:00,2019-01-02 00:00:00,42707941,CLI0033897,LA0021,4892,09
2019-01-02 00:00:00,2019-01-02 00:00:00,42708111,CLI0000995,LA0021,1967,73
2019-01-02 00:00:00,2019-01-02 00:00:00,42708091,CLI0000995,UV0024,1766,73
2019-01-02 00:00:00,2019-01-03 00:00:00,42708115,CLI0561354,LA0021,5057,44
2019-01-02 00:00:00,2019-01-03 00:00:00,42708117,CLI0000995,LA0021,2065,44
2019-01-02 00:00:00,2019-01-03 00:00:00,42708142,CLI0304006,LA0021,19008,04
2019-01-02 00:00:00,2019-01-15 00:00:00,42708137,CLI0478886,PE0022,6233,89
2019-01-03 00:00:00,2019-01-02 00:00:00,42708128,CLI0000995,MA0023,13630,12
2019-01-03 00:00:00,2019-01-03 00:00:00,42708228,CLI0033897,LA0021,13152,09
2019-01-03 00:00:00,2019-01-03 00:00:00,42708232,CLI0019997,LA0021,5944,04
2019-01-03 00:00:00,2019-01-03 00:00:00,42708257,CLI0000995,LA0021,2533,44
2019-01-03 00:00:00,2019-01-03 00:00:00,42708143,CLI0033897,MA0023,10866,09
2019-01-03 00:00:00,2019-01-03 00:00:00,42708139,CLI0172373,UV0024,17131,73
2019-01-03 00:00:00,2019-01-03 00:00:00,42708141,CLI0172373,UV0024,14729,73
2019-01-03 00:00:00,2019-01-03 00:00:00,42708165,CLI0019997,UV0024,11184,04
2019-01-03 00:00:00,2019-01-03 00:00:00,42708194,CLI0000995,UV0024,2837,73
2019-01-03 00:00:00,2019-01-04 00:00:00,42708215,CLI0037839,LA0021,16338,22
2019-01-03 00:00:00,2019-01-04 00:00:00,42708170,CLI0298468,UV0024,2586,04
2019-01-03 00:00:00,2019-01-04 00:00:00,42708191,CLI0005021,UV0024,10570,12
2019-01-03 00:00:00,2019-01-09 00:00:00,42708181,CLI0317577,UV0024,5209,54
2019-01-04 00:00:00,2019-01-04 00:00:00,42708430,CLI0294177,LA0021,0,44
2019-01-04 00:00:00,2019-01-04 00:00:00,42708447,CLI0019997,LA0021,17161,80
2019-01-04 00:00:00,2019-01-04 00:00:00,42708452,CLI0304006,LA0021,12886,09
2019-01-04 00:00:00,2019-01-04 00:00:00,42708537,CLI0000995,LA0021,6589,73
2019-01-04 00:00:00,2019-01-04 00:00:00,42708370,CLI0298468,UV0024,3827,04
2019-01-04 00:00:00,2019-01-04 00:00:00,42708380,CLI0172373,UV0024,14180,73
2019-01-04 00:00:00,2019-01-04 00:00:00,42708407,CLI0172373,UV0024,14942,73
2019-01-04 00:00:00,2019-01-05 00:00:00,42708433,CLI0561354,LA0021,4190,44
2019-01-04 00:00:00,2019-01-05 00:00:00,42708381,CLI0000995,UV0024,6421,73
2019-01-04 00:00:00,2019-01-06 00:00:00,42708432,CLI0000995,LA0021,2035,44
